epoch,train_loss,validation_loss,train_windows,validation_windows,epoch_time_seconds
1,0.2216637312052235,0.47022002268562,140453,23105,45.296153699979186
2,0.22549321153047427,0.44185026545715594,140453,23105,44.86412859999109
3,0.23472450615499738,0.4426202415102753,140453,23105,44.428577800048515
4,0.20876424439314614,0.40211576342747357,140453,23105,45.19778230006341
5,0.16969611586342126,0.31336899735650964,140453,23105,52.104522199952044
6,0.15634413749549558,0.28479012245960655,140453,23105,52.12853560002986
7,0.15102693751552532,0.2941451810341514,140453,23105,52.05347599997185
8,0.14842547297128159,0.2850683398997586,140453,23105,50.19331300002523
9,0.1452678764333687,0.2858082598167888,140453,23105,51.601425000000745
