,precision,recall,f1-score,support
Normal,0.9499071179056233,0.9996043354938264,0.9741222825022818,808766.0
Anomaly,0.015384615384615385,0.00011726628828744312,0.0002327584200358448,42638.0
accuracy,0.9495503897092332,0.9495503897092332,0.9495503897092332,0.9495503897092332
macro avg,0.4826458666451193,0.49986080089105694,0.48717752046115886,851404.0
weighted avg,0.9031065737896797,0.9495503897092332,0.9253502523875317,851404.0
